전자정보통신 약어정리

 	(‘*’표는 통신에 주로 사용되는 약어임)
BE 	Band Elimination, 대역 삭제
BEA 	Business Education Association
BEAC 	Boeing Engineering Analog Computer
BEAM 	Burroughs Electronic Accounting Machine
BEAME 	British Electronic and Allied Manufacturers
BEAMOS 	Beam Accessed MOS
BECN 	Backward Explicit Congestion Notification*, 역방향 명시 정체 표시
BEE 	Business Efficiency Exhibition
BEEF 	Business and Engineering Enriched FORTRAN
BEL 	Bell Character, 벨 문자, 신호음 문자
BELLCORE 	Bell Communication Research, 벨 통신연구소
BEM 	Boundary Frequency Method, 경계 요소법
BEMA 	Business Equipment Manufacturers Association
BEP 	Back-End Processor, 백 엔드 프로세서
BEP 	Bit Error Probability, 비트 오류 확률
BER 	Basic Encoding Rule
BER 	Bit Error Rate, 비트 오류율
BER 	Buffer, 버퍼
BERR 	Bus Error, 버스 에러
BEST 	Business EDP Systems Technique (NCR)
BEST 	Business Electronic Systems Technique
BEX 	Broadband EXchange, 광대역 교환
BF 	Base File
BFC 	Backward f Code, 역방향 움직임 벡터의 기술범위 (MPEG)
BFG 	Binary Frequency Generator, 이진 주파수 생성기
BFIM 	BeFore IMage
BFN 	Beam Forming Network
BFO 	Beat Frequency Oscillator, 비트 주파수 발진기
BFPDDA 	Binary Floating Point Digital Differential Analyzer
BFPF 	Boltzmann Firing Probability Function
BFR 	Buffer, 버퍼
BFSK 	Binary Frequency Shift Keying, 이진 주파수 편이 키잉
BG 	Bluestein-Greenspan
BG 	Board of Governors (Intelsat)
BG 	Bus Grant, 버스 승인
BGA 	Ball Grid Array, 볼 그리드 어레이
BGACK 	Bus Grant ACKnowledge
BGP 	Border Gateway Protocol, 보더 게이트웨이 프로토콜, 경계 입문 규약
BH 	Buried Heterostructure, 매립형 헤테로 구조
BH 	Busy Hour, 최번시
BHC 	Busy Hour Call, 최번시 최대호 처리수
BHCA 	Busy Hour Call Attempt, 최번시 시도호, 최번시 통화시도
BHCR 	Busy Hour Call Rate, 최번시 발생효율
BHFC 	Backward Horizontal F Code, 역방향 수평 움직임 벡터 탐색범위 (MPEG)
BHT 	Busy Hour Traffic
BHW 	Backward High Way, 백워드 하이웨이
BI 	Basket Indicator
BI 	Blank Input, 공백 입력
BI 	Block Interface field, 블록 인터페이스 필드
BI 	Block Interface, 블록 인터페이스
BIA 	Broadband Integrated Access
BICA 	Baseband Interface Card Assembly
BICS 	Burroughs Inventory Control System
BIDEC 	Binary to Decimal Converter
BIDEC 	Binary-to-Decimal, 이진-십진 변환
BIE 	British Institute of Engineers, 영국 기술 연구소
BIEE 	British Institute of Electrical Engineers, 영국 전자기술 연구소
BIFET 	BIpolar Field-Effect Transistor
BIGFON 	Breitbandiges Integriertes Glasfoser Fernmelde Ortsnetz Network
BIL 	Block Input Length, 블록 입력 길이
BIM 	Base station Interface Module
BIM 	Beginning-of-Information Marker
BIM 	BSM Interface Management*
BIM 	Byte Interleaved Multiplexing, 바이트 교직 다중화
BIMAC 	Bistable Magnetic Core
BIN 	Binary Loader
BIN 	Binary, 이진
BIN 	BTS Inter Connection Network
BIN 	BTS Interconnection Network, 기지국 상호접속 네트워크
BINAC 	Binary Automatic Computer, 이진 자동 컴퓨터
BIO 	Biological Information-Processing Organization
BIOR 	Business Input-Output Rerun Compiling System
BIOS 	Basic Input Output System, 기본 입출력 시스템, 바이오스
BIP 	Bit Interleaved Parity, 비트 교직 홀짝수
BIPCO 	Built-In-Phase Components
BIRE 	British Institute of Radio Engineers
BIRS 	Basic Indexing and Retrieval System
BIS 	Business Information System
BIS 	Busy Idle Status
BISAM 	Basic Indexed Sequential Access Method, 기본 색인순 액세스법, 기본 색인 순차 접근 방식
BISDN 	Broadband Integrated Services Digital Network, 광대역 종합정보통신망*
BISPBX 	Broadband Integrated Service Private Branch Exchange, 광대역 통합 서비스 사설 교환기
BISUP 	BISDN User Part
BISYNC 	Binary Synchronous Communication, 2진 동기 통신*
BIT 	Back Propagation Through Time (음성)
BIT 	Binary Digit
BITN 	Bilateral Iterative Network
BITNET 	Because It's Time Network, 비트넷
BJF 	Batch Job Foreground
BJM 	Between Job Monitor
BKSP 	Backspace, 백스페이스
BL 	Bell telephone Laboratories
BL 	BLanking
BL 	Branch with Link
BL 	Broken Link, 선행하는 GOP 데이터가 편집을 위해서는 사용불가임을 표시 (MPEG)
BL 	Bus Link, 버스 링크
BLADE 	Basic Level Automation of Data Through Electronics
BLADES 	Bell Laboratories Automatic Design System
BLESSED 	Bell Little Electrodata Symbolic System for the Electrodata
BLF 	Bubble Lattice File
BLIS 	Bell Laboratories Interpretive System
BLM 	Basic Language Machine
BLNK 	Blank, 공백
BLOB 	Binary Large Object
BLODI 	Block Diagram Compiler
BLT 	BASIC Language Translator
BLU 	Basic Logic Unit
BM 	Binary Multiply, 이진 다중
BM 	Blind Mode, 자력 등화 모드
BM 	Break and Make
BM 	Buffer Module, 버퍼 모듈
BM 	Burst Monitor, 버스트 감시
BMA 	Berlekamp-Massey Algorithm
BMA 	Block Matching Algorithm*, 구획 맞추기 방법 (MPEG)
BMB 	Billing Measurement Block
BMC 	Block Multiplexed Channel, 블록 다중 채널
BMC 	Block Multiplexer Channel, 블록 다중 채널
BMEWS 	Ballistic Missile Early Warning System
BMI 	Base station/Mobile switching center/Internetworking function*
BMI 	Battelle Memorial Institute
BMLA 	Burst Mode Link Analyzer
BMS 	Bank Memory Specification, 비엠에스, 뱅크 메모리 명세
BMS 	Base station Management Subsystem (IMT-2000)
BMS 	Business Management System (CSC)
BMU 	Branch Metric Unit
BMVS 	Bandwidth Manager and VCI Server
BN 	Binary Number, 이진 숫자
BNA 	Burst Not Acquired
BNCS 	British Numerical Control Society
BNF 	Backus-Naur Form
BNS 	Backbone Network Service, 백본망 서비스
BNS 	Binary Number System, 이진 숫자 시스템
BNT2 	Broadband Network Termination 2
BNZS 	Bipolar with N Zeros Substitution code
BO 	Backoff, 백오프
BO 	Beat Oscillator, 비트 오실레이터
BO 	Binary-to-Octal, 이진-팔진 변환
BOB 	Big Oracle Blocks
BOB 	Bureau of the Budget
BOC 	Bell Operating Company, 벨 오퍼레이팅사
BOCOL 	Basic Operating Consumer Oriented Language
BOI 	Branch Output Interrupt
BOL 	Beginning Of Life
BOLD 	Bibliographic On-Line Display
BOLD 	Bit Oriented Data Linke Control, (NCR, 1974), 비트 지향 데이터 링크 제어
BOM 	Basic Operating Monitor (IBM 1800)
BOM 	Begin Of Message, 메시지 시작
BOM 	Beginning Of Message, 메시지 시작
BON 	Building Out Network, 의사(擬似) 선로 회로망
BOOTP 	Bootstrap Protocol, 부트스트랩 프로토콜
BOP 	Bit Oriented Protocol, 비트 지향 프로토콜
BOS 	Background Operating System, 백그라운드 운영체제
BOS 	Basic Operating System, 기본 운영 체제, 기본 오퍼레이팅 시스템
BOSS 	Boeing Operational Supervisory System
BOSS 	Business Oriented Software System (PDP-8 series)
BOT 	Beginning-Of-Tape marker, 테이프 시작
BP 	Base Pointer, 베이스 포인터
BPAM 	Basic Partitioned Access Method
BPB 	BIOS Parameter Block
BPC 	Broad Phonetic Class, 대분류 소음군 (음성)
BPDU 	Bridge Protocol Data Units, 브리지 프로토콜 데이터 유닛
BPF 	Band Pass Filter, 대역필터, 대역통과 여파기
BPI 	Bits Per Inch, 인치당 비트
BPI 	Byte Per Inch, 인치당 바이트
BPIT 	Back Propagation Through Time (음성)
BPKT 	Basic Programmer Knowledge Test
BPM 	Batch Processing Monitor (Xerox sigma series)
BPM 	ByPass Module, 바이패스 모듈
BPON 	Broadband Passive Optical Network
BPP 	Bidirectional Predicted Picture, B-화면
BPR 	Basestation Packet Router
BPR 	Business Process Reengineering, 경영 과정 재설계
BPRCV 	Basic Pulse Receiving Equipment, 기본 펄스 수신 장치
BPS 	Back Propagation for Sequence (음성)
BPS 	Bit Per Second (bits/s), 비트/초
Bps 	Bits per second (bits/s), 초당 비트율
BPSK 	Binary Phase Shift Keying, 2원 위상 시프트 키잉, 이진 위상 편이 키잉 = PRK
BPT 	Bond Pull Test
BPTRNS 	Basic Pulse Transfer Equipment
BQ 	Burst Qualified
BQL 	Basic Query Language
BR 	Base Register, 베이스 레지스터
BR 	Bearer Related (IMT-2000)
BR 	Bit Rate, 초당 비트수
BR 	Boot Record, 부트 레코드
BR 	Branch, 분기
BR 	Break Request
BR 	Bus Request, 버스 요구
BRA 	Base Rate Access
Bra 	Byte conditional branch taken/not taken
BRAINS 	Business & Regional Area INS, 브레인스
BRC 	Bucket Brigade Chip
BRCV 	Beacon ReCeiVer, 비콘수신기
BRDS 	Broadband Distribution Subsystem
BRE 	Bit Rate Extension, BRV에 더해지는 상위 2 비트 (MPEG)
BRG 	Baud Rate Generator mode, 보오레이트 발생기 모드
BRG 	Baud Rate Generator, 보-레이트 발생기
BRGM 	Baud Rate Generator Mode, 보오레이트 발생기 모드
BRHR 	Basic Research and Human Resources
BRI 	Basic Rate access Interface
BRI 	Basic Rate Interface
BRI 	Busy/Reserved/Idle
BRL 	Ballistic Research Laboratories
BRLESC 	Ballistic Research Laboratories Electronic Scientific Computer
BRM 	Binary Rate Multiplier, 이진 레이트 멀티플라이어
BRS 	Break Request Signal
BRSA 	Boundary Routing System Architecture
BRT 	Binary Run Tape
BRU 	Branch Unconditional
BRV 	Bit Rate Value, 발생 비트량 제한을 위한 비트율의 하위비트값 (MPEG)
BS 	BackSpace, 백스페이스
BS 	Base Station, 기지국
BS 	Basic Synchronized, 베이직 동기
BS 	Batch Structure, 배치 구조
BS 	Bit Stealing, 비트 스틸링
BS 	Broadcasting Satellite, 위성 방송
BSA 	Base Station Area (=CSA)
BSA 	Business Software Alliance, 상업용 소프트웨어 저작권 보호 협회
BSAM 	Basic Sequential Assess Method
BSC 	Base Station Controller, 제어국*
BSC 	Baseband Coding Scheme, 베이스밴드 부호화 방식
BSC 	Basestation Subsystem Controller, 기지국 제어기*
BSC 	Basic Station Controller, 기지국 제어기
BSC 	Binary Symmetric Channel, 2진 대칭 통신로
BSC 	Binary Synchronous Communication, 2진 동기 통신, 이진 동기 통신(IBM, 1968)
BSC 	Binary Synchronous Control
BSC 	Binary Synchronous Control (Communication)
BSCA 	Binary Synchronous Communication Adapter
BSCG 	Base Station Control Group
BSCN 	Bit SCaN, 비트 스캔
BSD 	Balanced Slope Detector, 평형 경사 검파기
BSD 	Berkeley Software Distribution, 비에스디
BSDC 	Binary Symmetric Dependent Channel
BSDC 	British Standard Data Code
BSDCN 	Blind SNR-Dependent Cepstral Normalization (음성)
BSI 	Bit Sequence Independency, 비트열 독립
BSI 	Bit Stream Information
BSI 	British Standards Institute, 영국 표준 연구소
BSI 	British Telecommunications
BSIF 	Broadband Signaling Interface Block (IMT-2000)
BSLT 	Broadband Subscriber Line Terminal, 광대역가입자선 단국장치(광가입자용)
BSLTER 	Broadband Subscriber Line Terminal-Radio, 광대역가입자선 단국장치(무선가입자용)
BSM 	Base Station Management, 제어국 관리부
BSM 	Base Station Manager, 제어국 관리*
BSMAP 	Base Station Management Application Part
BSN 	Backward Sequence Number, 역방향 순서 번호
BSP 	Burroughs Scientific Processor
BSR 	Blip-Scan Ratio
BSRAM 	Burst Static RAM
BSRF 	Basic Synchronous Reference Frequency, 기본 동기 기준 주파수
BSS 	Base Station Subsystem
BSS 	Basic Synchronous Subnet
BSS 	Block Switching Signal
BSS 	Broadcasting Satellite Service
BST 	Beam-Switching Tube
BSU 	Broadband Service Unit, 광대역 회선 종단장치(광가입자용)
BSU-R 	Broadband Service Unit-Radio, 광대역 회선 종단장치(무선가입자용)
BSW 	Branch SWitch, 브랜치 스위치
BSY 	Busy, 비지
BT 	Bandwidth Time product
BT 	Bit Time, 비트 시간
BT 	British Telephone, 영국 전기 통신 회사
BT 	Broadband Terminal, 광대역 단국장치
BT 	Burst Tolerance
BT 	Burst Type
BTA 	Basic Trading Area
BTA 	Burst Timing Acquired
BTAM 	Basic Telecommunications Access Method, 기본 통신 액세스 방식, 기본 통신 접근법
BTB 	Branch Target Buffer
BTD 	Binary To Decimal, 이진-십진 변환
BTDL 	Basic Transient Diode Logic
BTL 	Beginning Tape Level
BTL 	Bell Telephone Laboratories
BTLS 	Broadband Toll and Local Switch, 광대역 가입자선, 중계선 병합교환기
BTMA 	Busy Tone Multiple Access
BTNA 	Burst Timing Not Acquired
BTP 	Batch Transfer Program
BTP 	Burst Time Plan
BTR 	Backward Temporal Reference, 시간 스케일러빌리티에서 역방향예측에 사용되는 픽처의 시간참조를 표시 (MPEG)
BTRL 	British Telecom Research Laboratory
BTS 	Base station Transceiver Subsystem
BTS 	Base Station Transceiver, 기지국 송수신기
BTS 	Base Transceiver Station, 기지국*
BTS 	Base Transceiver Subsystem
BTS 	Base Transmission Station
BTS 	Burst Timing Synchronization
BTSM 	BTS Management (IMT-2000)
BTSS 	Basic Time Sharing System
BTST 	Busy-Tone Start Lead
BTT 	BGT Table, 방송 및 그룹 변환 테이블
BTT 	Block Transfer Time
BU 	Bipolar/Unipolar, 양방향/단방향
BU 	Burst Usage
BUF 	Buffer, 버퍼
BUIC 	Back-Up Intercepter Control
BUILD 	Base for Uniform Definition
BUS 	Broadcast and Unknown server, 방송 및 미확인 서버
BUS 	Broadcast Unknown server, 방송 미확인 서버
BUS 	Broadcast/Unknown server, 방송/미확인 서버
BUSEN 	BUS ENable, 버스 인에이블
BV 	Basis Vector, 기저 벡터 (음성)
BVFC 	Backward Vertical F Code, 역방향 수직 움직임 벡터 탐색범위 (MPEG)
BVSC 	Broadcast Virtual Signaling Channel, 방송 가상 신호 채널
BW 	BandWidth, 대역폭
BW 	Black and White
BWB 	Bandwidth Balancing
BWG 	Beam Waveguide
BWLL 	Broadband WLL
BWR 	BandWidth Ratio, 대역폭 속도
BX 	Base Register, 베이스 레지스터
BX 	Branch and Exchange
BZ 	Buzzer, 버저
C 	Capacitance, 정전용량
C 	Carry flag
C 	CCCCCCCCCCCC ㅊㅊㅊㅊㅊㅊㅊㅊ
C 	Cell, 셀
C 	Character, 문자
C 	Chooser
C 	Clear, 클리어
C 	Computer, 컴퓨터
C 	Computing, 컴퓨팅
C 	Container, 컨테이너
C 	Control, 제어
C 	Cycles per second, 초당 사이클
C& C 	Command and Control, 명령 및 제어
C&C 	Computer and Communication, 컴퓨터와 통신
C&S 	Computers And Systems, 컴퓨터와 시스템
C-CH 	Control Channel, 제어 채널
C-MAC 	Compatible Multiplexed Analog Components
C-MUX 	Composite-Multiplexer, 동기다원 다중변환장치
C-V 	Constant-Voltage, 일정-전압
C.MMP 	Computer with Multiple Mini-Processors
C/A Code 	Clear/Acquisition Code
C/A Code 	Coarse Acquisition Code
C/A Code 	Coarse and Access Code
C/N 	Carrier to Noise ratio
C/N 	Carrier-to-Noise
C/R 	Command and Response
C/S 	Client & Server, 클라이언트와 서버
C420T 	Chroma 420 Type, 4:2:0의 경우 P와 같은 값 (MPEG)
CA 	Call Accepted, 호설정 응답
CA 	Cancel, 취소
CA 	Channel Adapter, 채널 어댑터
CA 	Collision Avoidance, 충돌 회피
CA 	Command Analysis, 명령어 분석
CA 	Computers and Automation
CA 	Control Area, 제어 범위
CA-VO 	Computer Associates engineers Visual Objects
CAA 	Computer Assisted Accounting
CAC 	Call Admission Control, 호 수락 제어, 연결 수락 제어
CAC 	Call Control (IMT-2000)
CAC 	Channel Access Criteria, 채널 액세스 표준
CAC 	Connection Admission Control, 연결 수락 제어
CACDP 	California Association of County Data Processors
CACM 	Communications of the Association for Computing Machinery
CACR 	CAche Control Register, 캐시 제어 레지스터
CAD 	Computer-Aided Design(or Drafting), 캐드, 컴퓨터 이용 설계
CADAM 	Computer-graphics Augmented Design And Manufacturing, 캐담
CADAR 	Computer Aided Design, Analysis and Reliability
CADC 	Cambridge Automatic Digital Computer
CADEP 	Computer Aided Design of Electronic Products
CADET 	Computer-Aided Design Experimental Translator (MIT)
CADETS 	Classroom Aided Dynamic Educational Time-sharing System
CADIC 	Computer-Aided Design of Integrated Circuits
CADSS 	Combined Analog-Digital Systems SImulator
CAE 	Common Application Environment, 공통 응용 환경
CAE 	Computer Aided Engineering, 컴퓨터 보조 공학
CAF 	Call Attach Facility
CAFE 	Computer Aided Film Editor (language)
CAFIS 	Credit And Finance Information System
CAGC 	Coherent AGC, 동기 AGC, 동기 자동이득조정
CAGE 	Computerized Aerospace Ground Equipment
CAI 	Common Air Interface (IMT-2000)
CAI 	Computer Aided Instruction (음성)
CAI 	Computer Assisted Instruction, 컴퓨터 이용 학습
CAI/OP 	Computer Analog Input/Output
CALM 	Computer Assisted Library Mechanization
CALS 	Commerce At Light Speed, 칼스
CALS 	Computer-Aided Acquisition and Logistic Support
CALS 	Continuous Acquisition and Life-cycle Support, 칼스, 군수 지원 시스템
CAM 	Common Access Method
CAM 	Complex Amplitude Modulation
CAM 	Computer Aided Manufacturing, 컴퓨터 이용 생산, 컴퓨터 지원 제조
CAM 	Computer-Aided Manufacturing, 컴퓨터 이용 생산, 컴퓨터 지원 제조
CAM 	Content Addressable Memory, 캠, 연상 기억 장치
CAMA 	Centralized Automatic Message Account, 집중 과금 자료 수집 방식, 중앙 집중식 과금 센터
CAMAC 	Computer-Aided Measurement And Control
CAMP 	Compiler for Automatic Machine Programming
CAMP 	Computer Applications of Military Problems User's Group
CAMP 	Computer Assisted Mathematics Program
CAMP 	Computer Assisted Movie Production
CAMP 	Computer-Aided Mask Preparation
CAMP 	Controls And Monitoring Processor
CAMPUS 	Comprehensive Analytical Model for Planning in the University Sphere
CAN 	CANcel character, 취소 문자
CAN 	Cancel, 취소
CANS 	Computer-Assisted Network Scheduling System
CAOS 	Completely Automatic Operational System
CAP 	Capacitor, 커패시터
CAP 	Card Assembly Program
CAP 	Carrierless Amplitude-modulation and Phase-modulation
CAP 	Classroom Assembly Program (MIT)
CAP 	Competitive Access Provider
CAP 	Competitive Access Providers, 경쟁적 액세스 사업자, 바이패스업자
CAP 	Compool Assembler Program
CAP 	Computer Analysis and Programmers of England
CAP 	Computer Assisted Production, 컴퓨터 이용 생산
CAP 	Concurrent Access Paradigm
CAP 	Control Assembly Program
CAP 	Council to Advance Programming
CAPAL 	Computer And Photographic Assisted Learning (Eastern Kodak co.)
CAPE 	Communications Automatic Processing Equipment
CAPI 	Common Application Programmers Interface
CAPM 	Computer Aided Patient Management
CAPP 	Content Addressable Parallel Processor
CAPS 	Computer Assisted Problem Solving
CAPTAIN 	Character and Patter telephone Access Information Network, 캡틴
CAR 	Correct Acceptance Rate, 정확한 수락률 (음성)
CARBINE 	Computer Automated Realtime Betting Information Network
CARD 	Compact Automatic Retrieval Display
CAROT 	Centralized Automatic Report On Trunk, 중계선 시험 집중 관리시스템
CARS 	Computer Aided Routing System
CARS 	Computerized Automotive Reporting Service
CART 	Central Automated Replenishment Technique
CART 	Central Automatic Reliability Tester (Texas instrument)
CART 	Classification and Regression Trees (음성)
CART 	Computerized Automatic Rating Technique
CAS 	Channel Associated Signaling*, 개별회선 신호 방식
CAS 	Charging and Accounting Subsystem
CAS 	Collision Avoidance System
CAS 	Communicating Applications Specification
CAS 	Conditional Access Module
CASD 	Computer Aided System Design
CASDAC 	Computer-Aided Ship Design And Construction
CASE 	Common Application Service Element
CASE 	Common Application Service Entity, 공통 응용 서비스 요소
CASE 	Computer-Assisted Software Engineering, 케이스
CASES 	Computerized Applicant Search, Evaluation and Selection
CASSA 	Continental Army Command Automated System Support Agency
CAST 	Clearinghouse Announcements in Science and Technology
CAT 	Category
CAT 	Computer-Aided Testing, 캐트, 컴퓨터 이용 제품 검사
CAT 	Computer-Assisted Translation
CAT 	Credit Authorization Terminal, 크레디트 카드 인증 단말기
CATNET 	Credit Application Terminal Network, 캐트넷
CATO 	Compiler for Automatic Teaching Operation (a FORTRAN-like language)
CATS 	Computer-Aided Teaching System
CATT 	Controlled Avalanche Transit Time
CATV 	Cable Television, 케이블 텔레비전, 유선 텔레비전
CATV 	Community Antenna Television
CAUML 	Computers and Automations Universal Mailing List
CAUSE 	College And University System Exchange
CAV 	Coaxial Cable Video Amplifier
CAV 	Constant Angular Velocity, 각속도 상수
CAW 	Channel Address Word, 채널 번지어, 채널 어드레스 워드
CAW 	Command Address Word, 커맨드 어드레스 워드
CAX 	Community Automatic Exchange
CB 	Catastrophe Blocking, 비상시 호출 제한
Cb 	Chrominance, 색차 신호 = B(청색)-Y(휘도신호)
CB 	Consolidated Billing, 통화 과금
CB 	Control Bits, 제어 비트
CB 	Control BUS, 제어 버스
CBACK 	Cache Burst ACKnowledge
CBDS 	Connectionless Broadband Data Service, 비접속형 광대역 데이터 서비스
CBE 	Computer Based Education, 컴퓨터 이용 학습
CBHK 	Central Office B-Channel Interlace H/W block
CBI 	Compound Batch Identification
CBI 	Computer-Based Instruction
CBIC 	Cell-Base IC
CBIOS 	Compatibility BIOS
CBIS 	Computer-Based Instructional System
CBL 	Character Base Line
CBMA 	Canadian Business manufacturers Association
CBMS 	Computer-Based Mail System
CBP 	Coded Block Pattern, 부호화 블록 패턴 (MPEG)
CBP 1 	Coded Block Pattern 1, 4:2:2의 경우, CBP 420에 부가하는 정보 (MPEG)
CBP 2 	Coded Block Pattern 2, 4:4:4의 경우, CBP 420에 부가하는 정보 (MPEG)
CBP 420 	Coded Block Pattern, 4:2:0의 경우의 부호화 블록 패턴 (MPEG)
CBP1 	Coded Block Pattern 1, 4:2:2의 경우, CBP 420에 부가하는 정보 (MPEG)
CBP2 	Coded Block Pattern 2, 4:4:4의 경우, CBP 420에 부가하는 정보 (MPEG)
CBP420 	Coded Block Pattern, 4:2:0의 경우의 부호화 블록 패턴 (MPEG)
CBR 	Concept Based Representation, 개념에 기반한 표현 (음성)
CBR 	Constant Bit Rate, 항등 비트율, 고정 속도형 서비스
CBREQ 	Cache Burst REQuest
CBTP 	Condensed Burst Time Plan
CBX 	Computer-Controlled private automatic Branch Exchange, 컴퓨터 제어 구내 자동 분배 교환기
CBX 	Computerized Branch Exchange
CC 	Calculator, 계산기
CC 	Call Confirm, 호설정 확인
CC 	Call Connection, 호설정
CC 	Call Control, 호제어
CC 	Card Column
CC 	Carriage Control, 캐리지 제어
CC 	Central Computer, 중앙 컴퓨터
CC 	Central Control Equipment, 중앙제어장치
CC 	Central Control, 중앙 제어
CC 	Chain Command, 체인 명령
CC 	Closed Circuit, 폐쇄 회로
CC 	Cluster Controller, 클러스터 제어기
CC 	Command and Control, 명령 및 제어
CC 	Common Carrier*, 공통 캐리어
CC 	Common Carrier, 세계적 전기통신 사업자
CC 	Common Control, 공통 명령
CC 	Compact Code, 콤팩트 부호, 최단 부호
CC 	Computer Community
CC 	Concurrent Concession
CC 	Condition Code, 상태 부호
CC 	Condition Code, 조건 부호, 상태 부호
CC 	Congestion Control, 혼잡 제어
CC 	Connect Clip, 연결 클립
CC 	Connecting Circuit, 접속 회로
CC 	Connection Confirm TPDU
CC 	Connection Control
CC 	Control Channel, 제어 채널
CC 	Control Counter, 제어 계수기
CC 	Convolution Code, 길쌈 부호
CC 	Cross Connect, 교차 연결
CC 	Cross Correlation
CC-NUMA 	Cache Coherent, NonUniform Memory Access
CC-TPDU 	Connection Confirm TPDU
CC600 	Common Control frame 600 = administration frame
CC601 	Common Control frame 601 = service circuit frame
CCA 	Channel to Channel Adapter
CCAF 	Call Control Agent Function (IMT-2000)
CCAF' 	Call Control Agent Function enhanced (IMT-2000)
CCAP 	Call Control Application Protocol*
CCAP 	Communications Control Application Program
CCB 	Call Control Block (IMT-2000)
CCB 	Change Control Board
CCB 	Command Control Block, 공통 제어 블록
CCBB 	Call Control Block Back board
CCBS 	Complement of Calls to Busy Subscriber*
CCC 	Call Connection Control (IMT-2000)
CCC 	Channel Common Card, 채널 공통 카드
CCC 	Channel Control Check
CCC 	Common Control Cabinet
CCC 	Common Control Carrier
CCC 	Credit Card Calling
CCCH 	Common Control Channel
CCCP 	Call and Connection Control Processor (IMT-2000)
CCCRS 	Cellular and Common Carrier Radio Section, 셀룰러 및 일반통신사업자무선소위원회
CCD 	Charge Coupled Device (Camera)
CCD 	Charge Coupled Device, 전하 결합 소자, 전하 전송 소자
CCD 	Charged-Coupled Device
CCDO 	Credit Call Dialogue Operation, 신용 통화 다이얼로그 수행
CCEC 	Credit Calling Dialogue Operation, 신용 과금 다이얼로그 수행부
CCF 	Call Control Function (IMT-2000)
CCF' 	Call Control Function enhanced (IMT-2000)
CCFo 	Call Control Function originating
CCFP 	Cordless Control Fixed Part
CCFt 	Call Control Function terminating
CCG 	Combinatory Categorial Grammar (음성)
CCI 	Co-Channel Interface, 동일 채널 간섭
CCI 	Common Client Interface (PGP)
CCI 	Constellation Communications Inc.
CCIA 	Console Computer Interface Adapter
CCIA 	The Computer Communications Industry Association
CCIC 	Co-Channel Interface Control
CCIF 	International Telephone Consultative Committee, 국제 전화 자문위원회
CCIR 	Comite Consultatif International des Radiocommunications, 국제 무선 통신 자문 위원회*
CCIR 	Comite Consultatif International de Radiocommunication
CCIR 	International Radiocommunications Consultative Committee
CCIS 	Command Control Information System
CCIS 	Common Channel Interexchange Signaling, 공통선 국간 신호
CCIS 	Common Channel Interoffice Signaling, 공통선 국간 신호 방식
CCITT 	International Telegraph and Telephone Consultative Committee, 국제유선통신자문기구, 국제전신전화자문위원회*
CCITT SGXV 	CCITT Study Group XV => ITU-T SG 15
CCM 	Call Confirmation Message
CCM 	Communication Controller-MultiChannel
CCM 	Communications Controller MultiChannel
CCMP 	Central Control Maintenance Processor
CCMS 	Central Control Maintenance Subsystem
CCOE 	Credit Call Operation Execution, 신용 통화 동작 수행
CCOX 	Call Control Execution*
CCOX 	CCP Call Control Block
CCP 	Call Control Processor, 호관리블럭*
CCP 	Central Control Processor
CCP 	Channel Coordination Processor
CCP 	Communication Control Processor, 통신 제어 처리 장치
CCR 	Central Control Room
CCR 	Commitment, Concurrency and Recovery
CCR 	Computer Characteristics Review (Keydata corp.)
CCR 	Condition Code Register, 상태 부호 레지스터
CCROS 	Card Capacitor Read-Only Storage
CCS 	Cent Call Second
CCS 	Central Control Subsystem, 중앙 제어 서브 시스템
CCS 	Common Channel Signaling Processor, 공통선 신호 프로세서 No.7
CCS 	Common Channel Signaling Subsystem, 공통선 신호방식 서브시스템
CCS 	Common Channel Signaling System, 공통선 신호방식
CCS 	Common Channel Signaling*, 공통선 신호, 공통채널신호
CCS 	Common Communications Support
CCS 	Computer Consulting Service
CCS 	Continuous Commercial Service
CCS 	Conversational Compiling System (Xerox)
CCS-No.7 	Common Channel Signaling System No.7, No.7 공통선 신호방식
CCS.7 	Common Channel Signaling System No.7, No.7 공통선 신호방식
CCS7 	Common Channel Signaling No.7
CCS7 	Common Channel Signaling number 7
CCSA 	Common Carrier Special Applications
CCSC 	Credit Call Service Control, 신용 통화 서비스 제어
CCSM 	Credit Call Service Management, 신용 통화 서비스 관리
CCSN 	Common Channel Signaling Network, 공통선 신호망
CCSS 	Common Channel Signaling System, 공통선 신호 방식
CCT 	Continuity Check Tone, 연속성 시험음 장비
CCTV 	Closed Circuit Television, 폐쇄 회로 텔레비전
CCU 	Call Control Unit
CCU 	Camera Control Unit
CCU 	Central Control Unit
CCU 	Communication Control Unit, 통신 제어 장치, 회선 제어 장치
CCVS 	COBOL Compiler Validation System
CCW 	Channel Command Word, 채널 명령어
CCW 	Channel Control Word, 채널 제어 워드
CCW 	Counter Clock Wise
CD 	Call Distribution
CD 	Call Drop, 통화중 절단율
CD 	Capability Data
CD 	Carrier Detect, 캐리어 디텍트
CD 	Cash Dispenser, 현금 자동 지급기
CD 	Charge Couple Device
CD 	Coded Data
CD 	Coding & Decoding Delay, 셀 지연 변이
CD 	Collision Detection, 충돌 검출
CD 	Color Description, 색 공간의 상세한 데이터가 있음을 표시 (MPEG)
CD 	Committee Draft, 위원회원안 (HDTV)
